id,Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
1,Charlotte,359,Oliver,525
2,Olivia,320,Noah,383
3,Isla,319,Jack,324
4,Amelia,295,William,322
5,Mia,256,Henry,307
6,Ava,247,Theodore,283
7,Harper,227,Elijah,273
8,Willow,226,Leo,267
9,Grace,222,Thomas,266
10,Sophie,206,Hudson,263
11,Ivy,205,Charlie,252
12,Isabella,204,Archie,244
13,Evelyn,189,Harrison,222
14,Ella,189,Levi,221
15,Evie,189,Lucas,213
16,Matilda,187,Hunter,213
17,Lily,187,Cooper,211
18,Ruby,179,Archer,208
19,Lucy,173,Oscar,206
20,Chloe,173,Alexander,197
21,Sophia,162,James,190
22,Frankie,154,Lincoln,187
23,Violet,142,Mason,182
24,Mila,142,Arlo,178
25,Emily,138,Liam,176
26,Zoe,137,Arthur,167
27,Hannah,137,George,162
28,Georgia,136,Lachlan,160
29,Freya,130,Harvey,157
30,Elsie,128,Hugo,156
31,Hazel,128,Ethan,155
32,Layla,127,Luca,154
33,Aria,125,Benjamin,154
34,Scarlett,124,Finn,150
35,Audrey,124,Jackson,139
36,Mackenzie,122,Sebastian,136
37,Ellie,121,Harry,136
38,Aurora,121,Xavier,135
39,Alice,120,Max,135
40,Isabelle,119,Eli,134
41,Abigail,116,Samuel,133
42,Sienna,114,Carter,130
43,Luna,114,Edward,112
44,Florence,108,Patrick,111
45,Penelope,105,Flynn,107
46,Poppy,104,Kai,107
47,Addison,102,Jacob,104
48,Eleanor,98,Spencer,103
49,Zara,96,Riley,103
50,Emilia,96,Theo,101
51,Thea,93,Connor,99
52,Billie,93,Louis,96
53,Phoebe,90,Joshua,96
54,Ayla,90,Joseph,95
55,Harriet,87,Owen,94
56,Emma,87,Grayson,94
57,Savannah,84,Isaac,93
58,Summer,83,Austin,93
59,Peyton,83,Ryan,90
60,Imogen,81,Parker,90
61,Daisy,81,Braxton,89
62,Elizabeth,80,Ezra,88
63,Eloise,79,Wyatt,87
64,Claire,79,Sonny,87
65,Adeline,79,Jaxon,87
66,Stella,76,Jasper,87
67,Remi,76,Fletcher,87
68,Millie,75,Michael,86
69,Jasmine,74,Beau,86
70,Delilah,74,Angus,85
71,Bonnie,74,Asher,85
72,Piper,73,Ryder,84
73,Sadie,70,Jordan,83
74,Eva,70,Charles,83
75,Indiana,69,Ashton,83
76,Quinn,68,Daniel,83
77,Sofia,68,Jayden,79
78,Olive,67,Darcy,78
79,Holly,64,Nate,75
80,Aubrey,63,Luke,74
81,Aaliyah,63,Hamish,73
82,Brooklyn,62,Tyler,70
83,Harlow,61,Phoenix,70
84,Bella,60,Maverick,70
85,Lola,59,Ari,70
86,Rose,58,Frederick,67
87,Lilly,55,Caleb,67
88,Hallie,55,Lennox,66
89,Pippa,54,Billy,66
90,Charlie,54,Alfie,66
91,Maggie,53,River,65
92,Clara,53,Lewis,65
93,Chelsea,53,Leonardo,64
94,Paige,52,Matthew,64
95,Lillian,52,Luka,64
96,Eliza,52,Gabriel,64
97,Annabelle,52,Aiden,64
98,Rosie,51,Vincent,63
99,Hayley,51,Felix,63
100,Maddison,50,Blake,63
